k,nn,gbt
2,0.7862050739957717,0.7806553911205074
3,0.6723044397463002,0.6778541226215645
4,0.6117864693446089,0.6144291754756871
5,0.5507399577167019,0.5568181818181818
6,0.5007928118393234,0.5240486257928119
7,0.4799154334038055,0.5055496828752643
8,0.48150105708245244,0.4978858350951374
9,0.4611522198731501,0.4669661733615222
10,0.4299682875264271,0.46855179704016914
11,0.4431818181818182,0.4622093023255814
12,0.438953488372093,0.45903805496828753
13,0.3929704016913319,0.41331923890063427
14,0.40644820295983086,0.42177589852008457
15,0.40380549682875266,0.09249471458773785
16,0.40142706131078226,0.09698731501057083
17,0.4059196617336152,0.39112050739957716
18,0.39217758985200846,0.3644291754756871
19,0.40169133192389006,0.34857293868921774
20,0.40169133192389006,0.3699788583509514
21,0.3998414376321353,0.3784355179704017
22,0.4045983086680761,0.35174418604651164
23,0.40856236786469347,0.35306553911205074
24,0.40274841437632136,0.35570824524312894
25,0.38742071881606766,0.3356236786469345
26,0.3726215644820296,0.0776955602536998
