k,nn,gbt,ols,lasso
2,0.47175319747925104,0.4594428140381214,0.21930248344453243,0.15371817853781022
3,0.7570705106927704,0.7461507855239106,0.6652933728285562,0.43543555173531584
4,0.9982963644920145,0.94848523710898,1.4286049337389455,0.9170267331059653
5,1.1795098733345537,1.1575579052704468,2.454397392335035,1.5479873082320879
6,1.3535517916677917,1.2748085026040061,3.4704241790956676,2.155397291207966
7,1.481986013590252,1.4026502741003484,5.0385425867194655,3.132484154498209
8,1.5383777754183192,1.458709864473609,6.766159982735275,4.20190727867
9,1.625318323262669,1.590092929467993,8.827942217551373,5.4914130897965325
10,1.7904161151128783,1.6414135377994403,11.220914853143164,6.956994614945111
11,1.8069803599338417,1.7188380156238243,13.203246748894754,8.134874952878384
12,1.920219620494516,1.7690783050699286,16.33433232578587,10.086790440941773
13,2.0641809305132965,2.988921813872665,18.737344952461385,11.500731139471569
14,2.0649004100528328,1.9531373873511053,22.430715543631585,13.797597801682766
15,2.0583440215161093,32.70980595619141,26.0589929325752,15.986005678239565
16,2.2454712847862544,32.54787622373502,29.16393060750051,17.854268483324834
17,2.1832384922649464,3.5286692671397373,33.31774144239833,20.443453926859537
18,2.217541770419721,4.613265141870913,37.56865960368143,23.06200531865135
19,2.3005381436329007,9.76000624097774,42.40531984955221,26.062336002503766
20,2.3271593457965256,8.755615575954055,47.55870539450111,29.19050071609358
21,2.3052607072079523,5.175659741382042,51.74530840372406,31.726087326598915
22,2.4265872668951296,7.642320234416081,57.424444108777486,35.23788025395343
23,2.412761353537468,8.222905280594302,63.11193982823461,38.768325311576966
24,2.4290019194776766,8.254933826983121,69.90237507663655,42.970200902160805
25,2.6254918970132857,8.35251454685599,75.13696854753543,45.71594136277085
26,2.6437269598568567,33.24322154545953,78.87097473871728,48.03666588099159
